,chr,start,end,altAF,quality,reads
0,1,69968,69969,1.0,32.70000076293945,2
1,1,536816,536817,0.3333333333333333,195.8000030517578,36
2,1,544787,544788,0.6666666666666666,632.7999877929688,27
3,1,544815,544816,0.7692307692307693,382.79998779296875,13
4,1,858801,858802,1.0,4639.7998046875,150
5,1,859913,859914,1.0,21.799999237060547,2
6,1,866511,866512,0.9836065573770492,2557.699951171875,61
7,1,876499,876500,1.0,2086.800048828125,83
8,1,877831,877832,1.0,568.7999877929688,20
9,1,881627,881628,0.52046783625731,2186.800048828125,171
10,1,883625,883626,1.0,6013.7998046875,184
11,1,887560,887561,0.9895833333333334,3332.800048828125,96
12,1,887801,887802,1.0,6143.7998046875,184
13,1,888639,888640,1.0,8628.7998046875,202
14,1,888659,888660,1.0,7619.7998046875,171
15,1,889158,889160,1.0,7687.7001953125,172
16,1,894573,894574,1.0,3939.800048828125,132
17,1,897325,897326,1.0,6800.7998046875,214
18,1,898323,898324,1.0,2867.800048828125,87
19,1,899928,899929,1.0,2350.800048828125,57
20,1,899937,899939,1.0,2176.699951171875,47
21,1,899942,899943,1.0,1906.800048828125,37
22,1,900505,900506,0.5035714285714286,3575.800048828125,280
23,1,901559,901560,1.0,1824.800048828125,57
24,1,901607,901608,1.0,3075.800048828125,97
25,1,901652,901653,1.0,4685.7998046875,164
26,1,906272,906273,0.4076923076923077,1235.800048828125,130
27,1,909238,909239,1.0,5777.7998046875,191
28,1,909309,909310,0.48372093023255813,2437.800048828125,215
29,1,909768,909769,1.0,5645.7998046875,163
30,1,911595,911596,0.59375,788.7999877929688,64
31,1,911916,911917,0.4789915966386555,1354.800048828125,119
32,1,912049,912050,0.49295774647887325,915.7999877929688,71
33,1,914333,914334,0.6074074074074074,1801.800048828125,135
34,1,914852,914853,0.5096153846153846,1259.800048828125,104
35,1,914876,914877,1.0,3424.800048828125,108
36,1,914940,914941,0.46,1787.699951171875,150
37,1,915227,915228,1.0,8880.7998046875,257
38,1,916549,916550,1.0,4779.7998046875,141
39,1,917492,917493,0.5172413793103449,1954.800048828125,145
40,1,935222,935223,0.5151515151515151,411.79998779296875,33
41,1,948921,948922,1.0,3759.800048828125,120
42,1,949608,949609,0.5169082125603864,3014.800048828125,207
43,1,949654,949655,1.0,6967.7998046875,215
44,1,976506,976515,0.8,85.69999694824219,5
45,1,977330,977331,0.58,651.7999877929688,50
46,1,977570,977571,0.5416666666666666,591.7999877929688,48
47,1,978603,978606,0.49056603773584906,1921.699951171875,106
48,1,981087,981088,0.4594594594594595,1427.800048828125,111
49,1,981931,981932,0.5151515151515151,1540.800048828125,132
50,1,982941,982942,0.5095541401273885,2179.800048828125,157
51,1,982994,982995,0.5207100591715976,2540.800048828125,169
52,1,984302,984303,0.42452830188679247,960.7999877929688,106
53,1,985266,985267,0.7368421052631579,2013.800048828125,114
54,1,985446,985447,0.46551724137931033,362.79998779296875,58
55,1,985449,985450,0.9285714285714286,1381.800048828125,56
56,1,986443,986444,0.5225225225225225,1495.800048828125,111
57,1,987200,987201,0.519774011299435,2577.800048828125,177
58,1,990280,990281,1.0,2846.800048828125,105
59,1,990773,990774,0.44,1354.800048828125,125
60,1,990806,990807,0.4344262295081967,1270.800048828125,122
61,1,1001177,1001178,0.6111111111111112,951.7999877929688,54
62,1,1007203,1007204,0.4523809523809524,354.79998779296875,42
63,1,1007432,1007433,0.37209302325581395,326.79998779296875,43
64,1,1021415,1021416,0.4666666666666667,1019.7999877929688,90
65,1,1115994,1115995,0.5754716981132075,1574.800048828125,106
66,1,1116231,1116232,0.5909090909090909,839.7999877929688,44
67,1,1118212,1118213,0.65,796.7999877929688,40
68,1,1118275,1118276,0.6326530612244898,1300.800048828125,98
69,1,1147024,1147025,0.559748427672956,1900.800048828125,159
70,1,1147422,1147423,0.3333333333333333,1374.800048828125,207
71,1,1156047,1156048,0.4642857142857143,1456.800048828125,112
72,1,1156131,1156132,0.593103448275862,2206.800048828125,145
73,1,1158631,1158632,1.0,4674.7998046875,142
74,1,1190913,1190915,0.5925925925925926,1422.699951171875,81
75,1,1192515,1192516,0.5112781954887218,1696.800048828125,133
76,1,1200192,1200193,1.0,56.70000076293945,2
77,1,1203387,1203388,0.49473684210526314,1254.800048828125,95
78,1,1217011,1217012,0.46153846153846156,2515.800048828125,143
79,1,1217020,1217021,0.4772727272727273,2382.800048828125,132
80,1,1231507,1231508,0.3767123287671233,1390.800048828125,146
81,1,1231656,1231657,0.5575221238938053,1441.800048828125,113
82,1,1233941,1233942,0.5189873417721519,1197.800048828125,79
83,1,1234762,1234764,0.3697916666666667,1718.699951171875,192
84,1,1244386,1244387,0.5555555555555556,334.79998779296875,27
85,1,1246004,1246005,0.45806451612903226,1868.800048828125,155
86,1,1247494,1247495,0.3933333333333333,1448.800048828125,150
87,1,1247578,1247580,0.7916666666666666,481.70001220703125,24
88,1,1249187,1249188,0.4692982456140351,2828.800048828125,228
89,1,1254436,1254437,0.42628205128205127,5096.7998046875,312
90,1,1254443,1254444,0.4384858044164038,5195.7998046875,317
91,1,1254841,1254842,0.4340425531914894,2764.800048828125,235
92,1,1262591,1262592,0.44776119402985076,852.7999877929688,67
93,1,1262966,1262967,0.5412844036697247,1393.800048828125,109
94,1,1263144,1263145,0.4591194968553459,1693.800048828125,159
95,1,1268847,1268848,0.4765625,3173.800048828125,256
96,1,1269554,1269555,0.4413145539906103,2437.800048828125,213
97,1,1274020,1274021,0.45161290322580644,1327.800048828125,124
98,1,1277533,1277534,1.0,3028.800048828125,102
99,1,1284490,1284491,0.9333333333333333,382.5,15
100,1,1289367,1289370,0.5148514851485149,1998.699951171875,101
101,1,1289911,1289912,0.6170212765957447,740.7999877929688,47
102,1,1291159,1291161,1.0,405.70001220703125,12
103,1,1296691,1296692,0.45977011494252873,1865.800048828125,174
104,1,1310074,1310075,0.42857142857142855,1356.800048828125,112
105,1,1323143,1323146,0.4808743169398907,3306.699951171875,183
106,1,1330726,1330727,0.4918032786885246,1758.800048828125,122
107,1,1334052,1334058,0.4380952380952381,1708.699951171875,105
108,1,1354515,1354516,0.36075949367088606,1320.800048828125,158
109,1,1354594,1354595,0.422360248447205,1754.800048828125,161
110,1,1361530,1361531,0.5314685314685315,1464.800048828125,143
111,1,1361555,1361556,0.4666666666666667,1419.800048828125,135
112,1,1361641,1361642,0.5,401.79998779296875,32
113,1,1368599,1368600,1.0,2532.800048828125,82
114,1,1368647,1368648,1.0,2830.800048828125,100
115,1,1386016,1386017,0.5263157894736842,1177.800048828125,76
116,1,1387726,1387727,0.45652173913043476,1744.800048828125,138
117,1,1387764,1387765,0.46987951807228917,1893.800048828125,166
118,1,1389695,1389696,1.0,3431.800048828125,102
119,1,1390875,1390876,1.0,5207.7998046875,173
120,1,1391304,1391305,1.0,4140.7998046875,123
121,1,1391562,1391563,1.0,666.7999877929688,24
122,1,1391597,1391598,1.0,397.79998779296875,14
123,1,1403814,1403815,0.48120300751879697,3361.800048828125,266
124,1,1407233,1407246,0.75,85.69999694824219,4
125,1,1413948,1413949,0.45544554455445546,2196.800048828125,202
126,1,1417696,1417697,1.0,1563.800048828125,46
127,1,1418004,1418005,0.4397163120567376,1567.800048828125,141
128,1,1421916,1421917,0.15789473684210525,377.79998779296875,247
129,1,1421991,1421992,0.4476987447698745,2783.800048828125,239
130,1,1423267,1423268,0.4931506849315068,1857.800048828125,146
131,1,1425700,1425701,0.4723404255319149,2732.800048828125,235
132,1,1425816,1425817,0.4381443298969072,2540.800048828125,194
133,1,1430985,1430986,0.5537459283387622,4562.7998046875,307
134,1,1447756,1447757,1.0,112.9000015258789,5
135,1,1451380,1451381,1.0,3845.800048828125,115
136,1,1469289,1469290,1.0,4008.800048828125,109
137,1,1551249,1551250,1.0,172.8000030517578,6
138,1,1551428,1551429,0.1875,14.899999618530273,16
139,1,1551927,1551928,1.0,2558.800048828125,96
140,1,1558792,1558793,1.0,3462.699951171875,119
141,1,1561331,1561332,0.5275590551181102,1511.800048828125,127
142,1,1563789,1563790,0.5098039215686274,701.7999877929688,51
143,1,1564712,1564713,0.3333333333333333,186.8000030517578,27
144,1,1564952,1564954,0.4266666666666667,735.7000122070312,75
145,1,1575616,1575617,1.0,3037.800048828125,91
146,1,1575836,1575837,0.24342105263157895,455.79998779296875,152
147,1,1577003,1577004,0.6666666666666666,110.80000305175781,6
148,1,1577084,1577094,0.625,150.6999969482422,8
149,1,1577180,1577181,0.21428571428571427,24.799999237060547,14
150,1,1581096,1581097,0.41304347826086957,1791.800048828125,184
151,1,1581558,1581559,1.0,2624.800048828125,69
152,1,1581586,1581587,1.0,1817.800048828125,51
153,1,1588670,1588671,0.3192771084337349,1253.800048828125,166
154,1,1588717,1588718,0.2391304347826087,985.7999877929688,184
155,1,1588737,1588738,0.23076923076923078,1284.800048828125,195
156,1,1588743,1588744,0.1912568306010929,1067.800048828125,183
157,1,1588744,1588748,0.19021739130434784,1055.699951171875,184
158,1,1588808,1588809,0.13157894736842105,131.6999969482422,152
159,1,1599812,1599813,0.22093023255813954,947.7999877929688,172
160,1,1599888,1599889,0.44,2272.800048828125,200
161,1,1599940,1599941,0.3274336283185841,733.7999877929688,113
162,1,1607686,1607687,1.0,67.30000305175781,3
163,1,1635004,1635005,0.502127659574468,2903.800048828125,235
164,1,1635619,1635620,0.49404761904761907,1928.800048828125,168
165,1,1635749,1635750,0.38311688311688313,1518.800048828125,154
166,1,1636044,1636045,0.41624365482233505,2145.800048828125,197
167,1,1639046,1639047,0.2111111111111111,378.79998779296875,90
168,1,1639062,1639063,0.21333333333333335,373.79998779296875,75
169,1,1647745,1647746,0.44878048780487806,3662.800048828125,205
170,1,1647753,1647754,0.4592274678111588,4184.7998046875,233
171,1,1647778,1647779,0.45481927710843373,5278.7998046875,332
172,1,1647814,1647815,0.47477064220183485,5393.7998046875,436
173,1,1647871,1647872,0.514,6177.7998046875,500
174,1,1647893,1647894,0.49606299212598426,7200.7001953125,381
175,1,1647928,1647929,0.28719723183391005,1797.800048828125,289
176,1,1650787,1650788,0.6482213438735178,6605.7998046875,253
